observation_phys_chem_id,property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id
1,Acidity - exchangeable,ExchAcid_ph0-kcl1m,cmol/kg
2,Acidity - exchangeable,ExchAcid_ph0-nh4cl,cmol/kg
3,Acidity - exchangeable,ExchAcid_ph0-unkn,cmol/kg
4,Acidity - exchangeable,ExchAcid_ph7-caoac,cmol/kg
5,Acidity - exchangeable,ExchAcid_ph7-unkn,cmol/kg
6,Acidity - exchangeable,ExchAcid_ph8-bacl2tea,cmol/kg
7,Acidity - exchangeable,ExchAcid_ph8-unkn,cmol/kg
8,Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc100wp,m3/100 m3
9,Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc200wp,m3/100 m3
10,Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc300wp,m3/100 m3
11,Base saturation - calculated,BSat_calcul-cec,%
12,Base saturation - calculated,BSat_calcul-ecec,%
13,bulkDensityFineEarthProperty,BlkDensF_fe-cl-fc,kg/dm3
14,bulkDensityFineEarthProperty,BlkDensF_fe-cl-od,kg/dm3
15,bulkDensityFineEarthProperty,BlkDensF_fe-cl-unkn,kg/dm3
16,bulkDensityFineEarthProperty,BlkDensF_fe-co-fc,kg/dm3
17,bulkDensityFineEarthProperty,BlkDensF_fe-co-od,kg/dm3
18,bulkDensityFineEarthProperty,BlkDensF_fe-co-unkn,kg/dm3
19,bulkDensityFineEarthProperty,BlkDensF_fe-rpl-unkn,kg/dm3
20,bulkDensityFineEarthProperty,BlkDensF_fe-unkn,kg/dm3
21,bulkDensityFineEarthProperty,BlkDensF_fe-unkn-fc,kg/dm3
22,bulkDensityFineEarthProperty,BlkDensF_fe-unkn-od,kg/dm3
23,bulkDensityWholeSoilProperty,BlkDensW_we-cl-fc,kg/dm3
24,bulkDensityWholeSoilProperty,BlkDensW_we-cl-od,kg/dm3
25,bulkDensityWholeSoilProperty,BlkDensW_we-cl-unkn,kg/dm3
26,bulkDensityWholeSoilProperty,BlkDensW_we-co-fc,kg/dm3
27,bulkDensityWholeSoilProperty,BlkDensW_we-co-od,kg/dm3
28,bulkDensityWholeSoilProperty,BlkDensW_we-co-unkn,kg/dm3
29,bulkDensityWholeSoilProperty,BlkDensW_we-rpl-unkn,kg/dm3
30,bulkDensityWholeSoilProperty,BlkDensW_we-unkn,kg/dm3
31,carbonInorganicProperty,InOrgC_calcul-caco3,g/kg
32,carbonInorganicProperty,InOrgC_calcul-tc-oc,g/kg
33,Carbon (C) - organic,OrgC_acid-dc,g/kg
34,Carbon (C) - organic,OrgC_acid-dc-ht,g/kg
35,Carbon (C) - organic,OrgC_acid-dc-ht-analyser,g/kg
36,Carbon (C) - organic,OrgC_acid-dc-lt,g/kg
37,Carbon (C) - organic,OrgC_acid-dc-lt-loi,g/kg
38,Carbon (C) - organic,OrgC_acid-dc-mt,g/kg
39,Carbon (C) - organic,OrgC_acid-dc-spec,g/kg
40,Carbon (C) - organic,OrgC_calcul-tc-ic,g/kg
41,Carbon (C) - organic,OrgC_dc,g/kg
42,Carbon (C) - organic,OrgC_dc-ht,g/kg
43,Carbon (C) - organic,OrgC_dc-ht-analyser,g/kg
44,Carbon (C) - organic,OrgC_dc-lt,g/kg
45,Carbon (C) - organic,OrgC_dc-lt-loi,g/kg
46,Carbon (C) - organic,OrgC_dc-mt,g/kg
47,Carbon (C) - organic,OrgC_dc-spec,g/kg
48,Carbon (C) - organic,OrgC_wc,g/kg
49,Carbon (C) - organic,OrgC_wc-cro3-jackson,g/kg
50,Carbon (C) - organic,OrgC_wc-cro3-kalembra,g/kg
51,Carbon (C) - organic,OrgC_wc-cro3-knopp,g/kg
52,Carbon (C) - organic,OrgC_wc-cro3-kurmies,g/kg
53,Carbon (C) - organic,OrgC_wc-cro3-nelson,g/kg
